Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 1.tif, PSNR, 35.387328, SSIM, 0.959897 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 2.tif, PSNR, 37.319003, SSIM, 0.961730 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 3.tif, PSNR, 35.395581, SSIM, 0.942724 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 4.tif, PSNR, 41.612301, SSIM, 0.971819 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 5.tif, PSNR, 39.151289, SSIM, 0.949280 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 6.tif, PSNR, 38.407803, SSIM, 0.967007 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 7.tif, PSNR, 37.175507, SSIM, 0.971525 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 8.tif, PSNR, 38.875619, SSIM, 0.961049 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 1.tif, PSNR, 36.697069, SSIM, 0.967527 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 2.tif, PSNR, 38.664135, SSIM, 0.969374 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 3.tif, PSNR, 36.788682, SSIM, 0.953128 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 4.tif, PSNR, 42.805982, SSIM, 0.977533 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 5.tif, PSNR, 40.136543, SSIM, 0.958448 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 6.tif, PSNR, 39.614493, SSIM, 0.972968 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 7.tif, PSNR, 38.565555, SSIM, 0.976555 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 8.tif, PSNR, 40.077409, SSIM, 0.967595 
Denoiser, RCAN_5x5_dilated_10cases, Rate, 0.050000, Image_name, 1.tif, PSNR, 25.048772, SSIM, 0.724413 
Denoiser, RCAN_5x5_dilated_10cases, Rate, 0.050000, Image_name, 2.tif, PSNR, 27.621858, SSIM, 0.809671 
Denoiser, RCAN_5x5_dilated_10cases, Rate, 0.050000, Image_name, 3.tif, PSNR, 27.019280, SSIM, 0.815871 
Denoiser, RCAN_5x5_dilated_10cases, Rate, 0.050000, Image_name, 4.tif, PSNR, 34.865303, SSIM, 0.914776 
Denoiser, RCAN_5x5_dilated_10cases, Rate, 0.050000, Image_name, 5.tif, PSNR, 33.646781, SSIM, 0.867505 
